"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-31.9263068664752,7.0678091484004,-4.51714331784141,1.20684434064251e-05
"2","YEAR",0.0166530739268142,0.00353821508462648,4.70663131791273,5.39547753305675e-06
"3","FUEL_TYPEE85",114.317285340139,63.8812179813414,1.78952889366526,0.0754093836820901
"4","FUEL_TYPEEREV",333.03077417875,142.43156321316,2.33818099489889,0.0206074103816573
"5","FUEL_TYPEGas",-164.87265151799,51.1630030848633,-3.2224975387883,0.00153819858708048
"6","FUEL_TYPEHEV",261.076902896185,88.0014278337574,2.96673485104563,0.00346871403020701
"7","FUEL_TYPEOTH",314.050861522282,292.460286661496,1.07382395438111,0.284508364899659
"8","SEGMENTLight",-182.291726236428,62.6265085770202,-2.9107758100907,0.00411646927317689
"9","SEGMENTMedium",8.94723504412052,16.0822351228633,0.556342758066052,0.578748984203254
"10","YEAR:FUEL_TYPEE85",-0.0567740981830928,0.0317408643298762,-1.78867524189169,0.0755474307526874
"11","YEAR:FUEL_TYPEEREV",-0.164785809635209,0.0706989868650755,-2.33080864298228,0.021003517313939
"12","YEAR:FUEL_TYPEGas",0.0820084934225659,0.0254613195951009,3.2209050719565,0.00154624482241569
"13","YEAR:FUEL_TYPEHEV",-0.129150028691186,0.043716502358855,-2.95426261760455,0.00360439465549547
"14","YEAR:FUEL_TYPEOTH",-0.155710666211251,0.145034400503439,-1.07361195461734,0.284603119685331
"15","YEAR:SEGMENTLight",0.0910363617749222,0.0311140684454922,2.92589064443327,0.00393137691841515
"16","YEAR:SEGMENTMedium",-0.0040235512945177,0.00802715049981241,-0.501242787787737,0.616884912591116
"17","FUEL_TYPEE85:SEGMENTLight",112.976990608015,92.688812623581,1.218884862263,0.224670785154966
"18","FUEL_TYPEGas:SEGMENTLight",344.011161544903,81.8292014103919,4.2040146502177,4.33733744603688e-05
"19","FUEL_TYPEGas:SEGMENTMedium",184.145040057535,56.5066708169378,3.25881948795217,0.00136491495987495
"20","FUEL_TYPEOTH:SEGMENTMedium",-66.1452756586875,547.122826736576,-0.120896574637955,0.903923703731808
"21","YEAR:FUEL_TYPEE85:SEGMENTLight",-0.0560340485041707,0.046055535545372,-1.21666261917567,0.225513182287097
"22","YEAR:FUEL_TYPEGas:SEGMENTLight",-0.170853627640662,0.0406835724264797,-4.19957288533143,4.4146907722176e-05
"23","YEAR:FUEL_TYPEGas:SEGMENTMedium",-0.0916899382820182,0.0281290925043888,-3.2596123841433,0.00136134331480498
"24","YEAR:FUEL_TYPEOTH:SEGMENTMedium",0.0326184364063343,0.271372510429976,0.120198012520325,0.9044761572625
